居住地址,lat,lng,hospital_count,nearest_hospital_distance,store_count,nearest_store_distance
屏東縣春日鄉七佳村,22.448723,120.7177509,0.0,0.0,0.0,0.0
屏東縣內埔鄉富田村,22.6113078,120.5423015,0.0,0.0,1.0,0.7526644544410848
屏東縣萬巒鄉五溝村,22.5992441,120.5998528,0.0,0.0,4.0,0.9981682800164894
屏東縣高樹鄉司馬村,22.8447874,120.6099215,0.0,0.0,0.0,0.0
屏東縣萬巒鄉鹿寮村,22.5636325,120.5653251,0.0,0.0,3.0,1.0383134854175724
屏東縣春日鄉士文村,22.3886652,120.7234992,0.0,0.0,0.0,0.0
屏東縣東港鎮南平里,22.4435201,120.4732056,0.0,0.0,1.0,0.7147843940634833
屏東縣竹田鄉西勢村,22.6202816,120.525031,1.0,0.24157371805830263,1.0,0.0270124419275871
屏東縣屏東市長春里,22.6687934,120.5012803,20.0,0.5711169009123,20.0,0.3676339134310783
屏東縣林邊鄉水利村,22.4202661,120.5077582,0.0,0.0,0.0,0.0
屏東縣東港鎮新勝里,22.4672868,120.4523255,20.0,0.2122071413172751,20.0,0.12175195120693572
屏東縣南州鄉米崙村,22.4821718,120.5192737,0.0,0.0,1.0,1.3546672302005425
屏東縣屏東市豐源里,22.6716903,120.5034396,20.0,0.7897364214928299,20.0,0.21132502544370418
屏東縣牡丹鄉石門村,22.1437159,120.769476,0.0,0.0,0.0,0.0
屏東縣屏東市溝美里,22.6804163,120.4969615,20.0,0.12406291109786226,20.0,0.36411312191131906
屏東縣內埔鄉建興村,22.6588408,120.5710804,3.0,0.7267048439931592,0.0,0.0
屏東縣新埤鄉箕湖村,22.4644905,120.5912217,0.0,0.0,0.0,0.0
屏東縣獅子鄉草埔村,22.2458794,120.792458,0.0,0.0,0.0,0.0
屏東縣潮州鎮潮州里,22.5512969,120.5426612,19.0,0.20698414734033171,20.0,0.08272629298087783
屏東縣屏東市一心里,22.6642468,120.4894033,20.0,0.7370954122598923,20.0,0.16081359392778563
屏東縣屏東市建國里,22.6670519,120.4840043,20.0,0.15593700342868888,20.0,0.2724666219472107
屏東縣屏東市崇武里,22.6631988,120.4768052,8.0,0.16225073422907954,20.0,0.19555732479554985
屏東縣潮州鎮永春里,22.5451056,120.5322273,14.0,0.6238067421133004,18.0,0.3069156015838552
屏東縣屏東市安鎮里,22.6661801,120.4753654,8.0,0.36106645534116905,20.0,0.3190027332437176
屏東縣屏東市勝利里,22.6838676,120.4868838,20.0,0.33858410317393967,20.0,0.30473295984545046
屏東縣潮州鎮光華里,22.5453792,120.5437406,19.0,0.15692998181319096,20.0,0.03550632697433481
屏東縣枋寮鄉太源村,22.4088583,120.5883446,0.0,0.0,2.0,0.325989008802784
屏東縣長治鄉進興村,22.6755964,120.5423015,0.0,0.0,0.0,0.0
屏東縣萬巒鄉赤山村,22.6051223,120.6228659,0.0,0.0,2.0,0.4121676258900897
屏東縣萬巒鄉佳佐村,22.5617581,120.5998528,1.0,0.6429087566406139,3.0,1.194901538652093
屏東縣高樹鄉東興村,22.8222716,120.5897832,1.0,1.022952383493703,4.0,0.8280256303220509
屏東縣高樹鄉南華村,22.7771782,120.5940988,0.0,0.0,0.0,0.0
屏東縣高樹鄉舊庄村,22.7944591,120.5883446,1.0,1.5191872920724234,0.0,0.0
屏東縣萬巒鄉萬全村,22.5719354,120.5768354,0.0,0.0,3.0,0.8387541797704842
屏東縣崁頂鄉崁頂村,22.5167221,120.5077582,0.0,0.0,2.0,0.5754449534973973
屏東縣九如鄉玉泉村,22.7191447,120.5135161,0.0,0.0,0.0,0.0
屏東縣屏東市橋北里,22.6696981,120.4969615,20.0,0.1840303550853749,20.0,0.2030816013089696
屏東縣春日鄉歸崇村,22.4096445,120.6487508,0.0,0.0,0.0,0.0
屏東縣潮州鎮三星里,22.5489317,120.5523748,12.0,0.7713929719841046,14.0,0.41961156630613794
屏東縣潮州鎮八爺里,22.5355919,120.5264703,0.0,0.0,3.0,0.9779243182539898
屏東縣恆春鎮四溝里,22.0132833,120.7148767,0.0,0.0,0.0,0.0
屏東縣恆春鎮城北里,22.0062334,120.7457713,13.0,0.35004224755710955,10.0,0.17665427033390946
屏東縣南州鄉溪北村,22.4924484,120.5149555,0.0,0.0,3.0,0.6305549928518489
屏東縣崁頂鄉越溪村,22.4976856,120.4962417,0.0,0.0,2.0,1.3797461161233182
屏東縣霧臺鄉阿禮村,22.7329688,120.8154358,0.0,0.0,0.0,0.0
屏東縣枋寮鄉人和村,22.3796854,120.5998528,0.0,0.0,4.0,0.5347654261417042
屏東縣林邊鄉田厝村,22.4358999,120.5034396,0.0,0.0,2.0,0.9672866444148476
屏東縣麟洛鄉新田村,22.6595243,120.5423015,0.0,0.0,0.0,0.0
屏東縣新埤鄉新埤村,22.4684165,120.5595696,1.0,0.8190517406561533,3.0,0.8382075124446701
屏東縣高樹鄉新南村,22.7799632,120.5682028,0.0,0.0,1.0,0.9026705932847536
屏東縣新埤鄉萬隆村,22.507334,120.5912217,0.0,0.0,0.0,0.0
屏東縣九如鄉九明村,22.7267338,120.464566,0.0,0.0,0.0,0.0
屏東縣獅子鄉南世村,22.3410576,120.7464897,0.0,0.0,0.0,0.0
屏東縣屏東市大湖里,22.6263055,120.4962417,9.0,1.1962451413638815,0.0,0.0
屏東縣潮州鎮檨子里,22.5094603,120.5329469,0.0,0.0,0.0,0.0
屏東縣竹田鄉竹南村,22.5696523,120.5365449,0.0,0.0,3.0,0.9108632491026684
屏東縣內埔鄉大新村,22.6766366,120.5883446,9.0,1.1182200793582684,1.0,1.4123634540582266
屏東縣竹田鄉大湖村,22.58294,120.5178343,0.0,0.0,1.0,1.1263889262824325
屏東縣竹田鄉福田村,22.6147566,120.5322273,1.0,0.8327807389613087,2.0,0.8951987059619058
屏東縣屏東市金泉里,22.6693047,120.490843,20.0,0.25585665695815824,20.0,0.13807385249033588
屏東縣佳冬鄉昌隆村,22.4511469,120.5653251,0.0,0.0,1.0,0.8214680351196892
屏東縣潮州鎮三和里,22.5578163,120.5387036,16.0,0.18674147106389635,16.0,0.17827583657848678
屏東縣東港鎮新街里,22.4721005,120.4559325,20.0,0.3897325136751532,20.0,0.3459678991163654
屏東縣屏東市仁義里,22.7061817,120.5178343,0.0,0.0,2.0,0.9895158587628186
屏東縣內埔鄉中林村,22.655731,120.6113599,0.0,0.0,3.0,0.8945575817241972
屏東縣恆春鎮城西里,22.0057869,120.7414609,13.0,0.38188576477269126,10.0,0.25159037968141224
屏東縣高樹鄉建興村,22.8312176,120.617113,0.0,0.0,0.0,0.0
屏東縣高樹鄉高樹村,22.8229427,120.6056064,2.0,0.369480304306406,4.0,0.37108826743896023
屏東縣屏東市仁愛里,22.683808,120.495162,20.0,0.31143124920343535,20.0,0.2573124975172879
屏東縣九如鄉洽興村,22.762186,120.5063187,0.0,0.0,1.0,0.704057358815706
屏東縣新園鄉五房村,22.5087817,120.4300017,0.0,0.0,1.0,0.8319985744428527
屏東縣竹田鄉鳳明村,22.5649505,120.5077582,1.0,0.6002332651285922,1.0,1.4377035155637585
屏東縣屏東市新生里,22.6517935,120.4832844,5.0,0.24835826801278885,13.0,0.3116651640226779
屏東縣恆春鎮茄湖里,22.040032,120.7148767,0.0,0.0,0.0,0.0
屏東縣東港鎮共和里,22.4632661,120.4523255,20.0,0.21963106086599032,20.0,0.25562263045824246
